mag,mag_error,time,filename
1.7959677026883742,0.007864591845060033,2018-03-29T04:15:08.455,./2018/tfn0m410-kb88-20180328-0352-e91.fits.fz
1.831509749245967,0.010397404883728674,2018-03-26T05:01:04.242,./2018/tfn0m414-kb99-20180325-0408-e91.fits.fz
1.7238917121603965,0.005967903948398577,2018-03-30T05:34:28.075,./2018/tfn0m414-kb99-20180329-0571-e91.fits.fz
1.7576247850009459,0.005113532763913687,2018-03-31T04:25:26.448,./2018/tfn0m414-kb99-20180330-0260-e91.fits.fz
1.6298855966441632,0.011122047754240258,2018-03-30T13:30:36.290,./2018/ogg0m404-kb82-20180329-0125-e91.fits.fz
1.7608197281421152,0.0055799938319561005,2018-04-06T04:25:53.930,./2018/tfn0m410-kb88-20180405-0264-e91.fits.fz
1.7224973105799393,0.003026710344991355,2018-04-03T10:20:32.079,./2018/elp0m411-kb80-20180402-0381-e91.fits.fz
1.6557203153372502,0.0027300957610112463,2018-03-08T14:56:14.954,./2018/ogg0m404-kb82-20180307-0230-e91.fits.fz
1.6835956429402916,0.002878796495054972,2018-03-29T14:57:59.250,./2018/ogg0m406-kb27-20180328-0209-e91.fits.fz
1.6667763598899166,0.007709536690220692,2018-04-10T09:24:45.037,./2018/elp0m411-kb80-20180409-0305-e91.fits.fz
1.6236211934225118,0.022773066312686677,2018-03-09T11:35:50.321,./2018/elp0m411-kb80-20180308-0320-e91.fits.fz
1.7605492554724052,0.004320242867605063,2018-03-27T05:11:40.130,./2018/tfn0m414-kb99-20180326-0358-e91.fits.fz
1.3518391994256014,0.005924464276029458,2018-04-01T04:25:27.092,./2018/tfn0m414-kb99-20180331-0558-e91.fits.fz
1.6974870228449586,0.0027951471401187647,2018-04-08T10:00:14.862,./2018/elp0m411-kb80-20180407-0626-e91.fits.fz
1.753007614090043,0.00395501644163486,2018-03-21T05:56:43.486,./2018/tfn0m414-kb99-20180320-0493-e91.fits.fz
1.7771885985408868,0.004829323508698372,2018-03-22T05:36:35.158,./2018/tfn0m410-kb88-20180321-0516-e91.fits.fz
1.758422244305203,0.002739682423923576,2018-03-19T11:17:59.988,./2018/elp0m411-kb80-20180318-0219-e91.fits.fz
1.6192733391890854,0.003411734177305583,2018-04-02T09:54:31.825,./2018/elp0m411-kb80-20180401-0062-e91.fits.fz
